perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
0,61,3,0,0,0.953125,0,False
1,61,3,0,0,0.953125,0,False
2,60,4,0,0,0.9375,0,False
3,60,4,0,0,0.9375,0,False
4,61,3,0,0,0.953125,0,False
5,60,4,0,0,0.9375,0,False
6,61,3,0,0,0.953125,0,False
7,60,4,0,0,0.9375,0,False
8,61,3,0,0,0.953125,0,False
9,60,4,0,0,0.9375,0,False
10,61,3,0,0,0.953125,0,False
11,61,3,0,0,0.953125,0,False
12,61,3,0,0,0.953125,0,False
13,60,4,0,0,0.9375,0,False
14,60,4,0,0,0.9375,0,False
15,60,4,0,0,0.9375,0,False
16,60,4,0,0,0.9375,0,False
17,61,3,0,0,0.953125,0,False
18,61,3,0,0,0.953125,0,False
19,61,3,0,0,0.953125,0,False
20,62,2,0,0,0.96875,0,False
21,62,2,0,0,0.96875,0,False
22,60,4,0,0,0.9375,0,False
23,60,4,0,0,0.9375,0,False
24,60,4,0,0,0.9375,0,False
25,60,4,0,0,0.9375,0,False
26,61,3,0,0,0.953125,0,False
27,61,3,0,0,0.953125,0,False
28,60,4,0,0,0.9375,0,False
29,61,3,0,0,0.953125,0,False
30,62,2,0,0,0.96875,0,False
31,62,2,0,0,0.96875,0,False
32,61,3,0,0,0.953125,0,False
33,61,3,0,0,0.953125,0,False
34,61,3,0,0,0.953125,0,False
35,61,3,0,0,0.953125,0,False
36,60,4,0,0,0.9375,0,False
37,60,4,0,0,0.9375,0,False
38,61,3,0,0,0.953125,0,False
39,62,2,0,0,0.96875,0,False
40,61,3,0,0,0.953125,0,False
41,61,3,0,0,0.953125,0,False
42,61,3,0,0,0.953125,0,False
43,60,4,0,0,0.9375,0,False
44,60,4,0,0,0.9375,0,False
45,61,3,0,0,0.953125,0,False
46,62,2,0,0,0.96875,0,False
47,61,3,0,0,0.953125,0,False
48,61,3,0,0,0.953125,0,False
49,60,4,0,0,0.9375,0,False
50,61,3,0,0,0.953125,0,False
51,60,4,0,0,0.9375,0,False
52,62,2,0,0,0.96875,0,False
53,60,4,0,0,0.9375,0,False
54,61,3,0,0,0.953125,0,False
55,62,2,0,0,0.96875,0,False
56,61,3,0,0,0.953125,0,False
57,61,3,0,0,0.953125,0,False
58,60,4,0,0,0.9375,0,False
59,60,4,0,0,0.9375,0,False
60,60,4,0,0,0.9375,0,False
61,60,4,0,0,0.9375,0,False
62,61,3,0,0,0.953125,0,False
63,61,3,0,0,0.953125,0,False
64,61,3,0,0,0.953125,0,False
65,60,4,0,0,0.9375,0,False
66,61,3,0,0,0.953125,0,False
