perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
0,59,5,0,0,0.921875,0,False
1,58,6,0,0,0.90625,0,False
2,58,6,0,0,0.90625,0,False
3,58,6,0,0,0.90625,0,False
4,59,5,0,0,0.921875,0,False
5,58,6,0,0,0.90625,0,False
6,58,6,0,0,0.90625,0,False
7,58,6,0,0,0.90625,0,False
8,58,6,0,0,0.90625,0,False
9,58,6,0,0,0.90625,0,False
10,58,6,0,0,0.90625,0,False
11,58,6,0,0,0.90625,0,False
12,58,6,0,0,0.90625,0,False
13,58,6,0,0,0.90625,0,False
14,60,4,0,0,0.9375,0,False
15,58,6,0,0,0.90625,0,False
16,58,6,0,0,0.90625,0,False
17,58,6,0,0,0.90625,0,False
18,58,6,0,0,0.90625,0,False
19,58,6,0,0,0.90625,0,False
20,58,6,0,0,0.90625,0,False
21,58,6,0,0,0.90625,0,False
22,58,6,0,0,0.90625,0,False
23,58,6,0,0,0.90625,0,False
24,58,6,0,0,0.90625,0,False
25,59,5,0,0,0.921875,0,False
26,58,6,0,0,0.90625,0,False
27,59,5,0,0,0.921875,0,False
28,58,6,0,0,0.90625,0,False
29,59,5,0,0,0.921875,0,False
30,58,6,0,0,0.90625,0,False
31,58,6,0,0,0.90625,0,False
32,58,6,0,0,0.90625,0,False
33,58,6,0,0,0.90625,0,False
34,58,6,0,0,0.90625,0,False
35,58,6,0,0,0.90625,0,False
36,57,7,0,0,0.890625,0,False
37,58,6,0,0,0.90625,0,False
38,58,6,0,0,0.90625,0,False
39,58,6,0,0,0.90625,0,False
40,58,6,0,0,0.90625,0,False
41,59,5,0,0,0.921875,0,False
42,58,6,0,0,0.90625,0,False
43,58,6,0,0,0.90625,0,False
44,58,6,0,0,0.90625,0,False
45,60,4,0,0,0.9375,0,False
46,58,6,0,0,0.90625,0,False
47,58,6,0,0,0.90625,0,False
48,58,6,0,0,0.90625,0,False
49,58,6,0,0,0.90625,0,False
50,59,5,0,0,0.921875,0,False
51,58,6,0,0,0.90625,0,False
52,58,6,0,0,0.90625,0,False
53,58,6,0,0,0.90625,0,False
54,58,6,0,0,0.90625,0,False
55,58,6,0,0,0.90625,0,False
56,58,6,0,0,0.90625,0,False
57,58,6,0,0,0.90625,0,False
58,58,6,0,0,0.90625,0,False
59,59,5,0,0,0.921875,0,False
60,59,5,0,0,0.921875,0,False
61,58,6,0,0,0.90625,0,False
62,58,6,0,0,0.90625,0,False
63,58,6,0,0,0.90625,0,False
64,58,6,0,0,0.90625,0,False
65,58,6,0,0,0.90625,0,False
66,58,6,0,0,0.90625,0,False
67,58,6,0,0,0.90625,0,False
68,58,6,0,0,0.90625,0,False
69,58,6,0,0,0.90625,0,False
70,59,5,0,0,0.921875,0,False
71,58,6,0,0,0.90625,0,False
72,58,6,0,0,0.90625,0,False
73,59,5,0,0,0.921875,0,False
74,58,6,0,0,0.90625,0,False
75,58,6,0,0,0.90625,0,False
76,58,6,0,0,0.90625,0,False
77,58,6,0,0,0.90625,0,False
78,58,6,0,0,0.90625,0,False
79,59,5,0,0,0.921875,0,False
80,58,6,0,0,0.90625,0,False
81,58,6,0,0,0.90625,0,False
82,58,6,0,0,0.90625,0,False
83,58,6,0,0,0.90625,0,False
84,58,6,0,0,0.90625,0,False
85,58,6,0,0,0.90625,0,False
86,58,6,0,0,0.90625,0,False
87,59,5,0,0,0.921875,0,False
88,57,7,0,0,0.890625,0,False
89,58,6,0,0,0.90625,0,False
90,58,6,0,0,0.90625,0,False
91,58,6,0,0,0.90625,0,False
92,58,6,0,0,0.90625,0,False
93,58,6,0,0,0.90625,0,False
94,58,6,0,0,0.90625,0,False
95,58,6,0,0,0.90625,0,False
96,58,6,0,0,0.90625,0,False
97,58,6,0,0,0.90625,0,False
98,58,6,0,0,0.90625,0,False
99,58,6,0,0,0.90625,0,False
100,58,6,0,0,0.90625,0,False
101,58,6,0,0,0.90625,0,False
102,58,6,0,0,0.90625,0,False
103,58,6,0,0,0.90625,0,False
104,58,6,0,0,0.90625,0,False
105,59,5,0,0,0.921875,0,False
106,58,6,0,0,0.90625,0,False
107,59,5,0,0,0.921875,0,False
108,58,6,0,0,0.90625,0,False
109,58,6,0,0,0.90625,0,False
110,58,6,0,0,0.90625,0,False
111,58,6,0,0,0.90625,0,False
112,59,5,0,0,0.921875,0,False
113,58,6,0,0,0.90625,0,False
114,58,6,0,0,0.90625,0,False
115,59,5,0,0,0.921875,0,False
116,58,6,0,0,0.90625,0,False
117,58,6,0,0,0.90625,0,False
118,57,7,0,0,0.890625,0,False
119,59,5,0,0,0.921875,0,False
120,58,6,0,0,0.90625,0,False
121,59,5,0,0,0.921875,0,False
122,58,6,0,0,0.90625,0,False
123,58,6,0,0,0.90625,0,False
124,58,6,0,0,0.90625,0,False
125,59,5,0,0,0.921875,0,False
126,58,6,0,0,0.90625,0,False
127,58,6,0,0,0.90625,0,False
128,58,6,0,0,0.90625,0,False
129,58,6,0,0,0.90625,0,False
130,58,6,0,0,0.90625,0,False
131,58,6,0,0,0.90625,0,False
132,58,6,0,0,0.90625,0,False
133,58,6,0,0,0.90625,0,False
134,58,6,0,0,0.90625,0,False
135,57,7,0,0,0.890625,0,False
136,58,6,0,0,0.90625,0,False
137,58,6,0,0,0.90625,0,False
138,59,5,0,0,0.921875,0,False
139,57,7,0,0,0.890625,0,False
140,58,6,0,0,0.90625,0,False
141,59,5,0,0,0.921875,0,False
